Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2004","2004","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2005","2005","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2006","2006","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2007","2007","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2008","2008","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2009","2009","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2010","2010","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2011","2011","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2012","2012","No","0","F","FAO estimate"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2013","2013","No","0","","Official data"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2015","2015","No","2","","Official data"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2016","2016","No","2","","Official data"
"TCL","Crops and livestock products","100","India","5907","Export Quantity","1181","Beehives","2018","2018","No","38652","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2001","2001","tonnes","17","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2002","2002","tonnes","6","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2003","2003","tonnes","27","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2004","2004","tonnes","10","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2005","2005","tonnes","21","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2006","2006","tonnes","412","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2007","2007","tonnes","632","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2008","2008","tonnes","640","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2009","2009","tonnes","1633","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2010","2010","tonnes","193","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2011","2011","tonnes","1685","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2012","2012","tonnes","935","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2013","2013","tonnes","1093","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2014","2014","tonnes","570","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2015","2015","tonnes","1658","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2016","2016","tonnes","2222","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2017","2017","tonnes","3627","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2018","2018","tonnes","4922","","Official data"
"TCL","Crops and livestock products","100","India","5610","Import Quantity","20","Bread","2019","2019","tonnes","7631","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2001","2001","tonnes","75","*","Unofficial figure"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2002","2002","tonnes","150","","Official data"
"TCL","Crops and livestock products","100","India","5910","Export Quantity","20","Bread","2003","2003","tonnes","188","","Official data"
