Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2011","2011","°C","0.812","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2012","2012","°C","0.928","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2013","2013","°C","0.432","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2014","2014","°C","0.117","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2015","2015","°C","1.302","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2016","2016","°C","1.407","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2017","2017","°C","1.094","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2018","2018","°C","0.395","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2019","2019","°C","0.256","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7012","December","2020","2020","°C","0.825","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2010","2010","°C","0.846","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2011","2011","°C","0.065","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2012","2012","°C","0.252","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2013","2013","°C","0.556","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2014","2014","°C","0.099","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2015","2015","°C","0.401","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2016","2016","°C","1.441","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2017","2017","°C","1.2","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2018","2018","°C","1.041","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2019","2019","°C","0.363","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7016","Dec–Jan–Feb","2020","2020","°C","0.298","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2010","2010","°C","1.824","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2011","2011","°C","0.174","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2012","2012","°C","0.445","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2013","2013","°C","0.552","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2014","2014","°C","-0.047","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2015","2015","°C","0.029","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2016","2016","°C","1.328","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2017","2017","°C","0.937","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2018","2018","°C","0.96","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2019","2019","°C","0.745","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7017","Mar–Apr–May","2020","2020","°C","0.017","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2010","2010","°C","0.745","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2011","2011","°C","0.221","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2012","2012","°C","0.8","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2013","2013","°C","-0.058","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2014","2014","°C","1.142","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2015","2015","°C","0.687","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2016","2016","°C","0.64","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2017","2017","°C","0.544","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2018","2018","°C","0.482","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2019","2019","°C","1.184","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7018","Jun–Jul–Aug","2020","2020","°C","0.47","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2010","2010","°C","0.991","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2011","2011","°C","0.831","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2012","2012","°C","0.308","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2013","2013","°C","0.539","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2014","2014","°C","0.775","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2015","2015","°C","1.493","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2016","2016","°C","0.783","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2017","2017","°C","1.113","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2018","2018","°C","0.936","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2019","2019","°C","0.796","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7019","Sep–Oct–Nov","2020","2020","°C","1.059","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.101","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.323","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.451","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.397","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.492","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2015","2015","°C","0.653","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.048","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2017","2017","°C","0.949","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.855","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2019","2019","°C","0.772","Fc","Calculated data"
"ET","Temperature change","100","India","7271","Temperature change","7020","Meteorological year","2020","2020","°C","0.461","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2010","2010","°C","1.995","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2011","2011","°C","1.669","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2012","2012","°C","-0.097","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2013","2013","°C","0.947","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2014","2014","°C","1.221","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2015","2015","°C","-0.059","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2016","2016","°C","3.146","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2017","2017","°C","-0.694","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2018","2018","°C","0.458","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2019","2019","°C","0.35","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7001","January","2020","2020","°C","-0.163","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2010","2010","°C","3.047","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2011","2011","°C","-0.124","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2012","2012","°C","-2.411","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2013","2013","°C","0.049","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2014","2014","°C","0.72","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2015","2015","°C","-0.933","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2016","2016","°C","1.114","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2017","2017","°C","1.304","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2018","2018","°C","-1.169","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2019","2019","°C","0.418","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7002","February","2020","2020","°C","3.034","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2010","2010","°C","2.493","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2011","2011","°C","0.291","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2012","2012","°C","1.57","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2013","2013","°C","1.786","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2014","2014","°C","0.931","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2015","2015","°C","0.364","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2016","2016","°C","-0.061","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2017","2017","°C","1.533","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2018","2018","°C","1.193","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2019","2019","°C","1.548","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7003","March","2020","2020","°C","1.536","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2010","2010","°C","3.812","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2011","2011","°C","3.347","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2012","2012","°C","-0.038","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2013","2013","°C","2.534","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2014","2014","°C","3.367","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2015","2015","°C","2.709","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2016","2016","°C","2.414","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2017","2017","°C","3.912","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2018","2018","°C","0.989","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2019","2019","°C","1.237","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7004","April","2020","2020","°C","2.191","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2010","2010","°C","0.948","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2011","2011","°C","2.193","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2012","2012","°C","3.304","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2013","2013","°C","0.562","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2014","2014","°C","3.379","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2015","2015","°C","3.632","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2016","2016","°C","1.829","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2017","2017","°C","3.786","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2018","2018","°C","-0.469","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2019","2019","°C","3.525","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7005","May","2020","2020","°C","3.15","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2010","2010","°C","1.018","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2011","2011","°C","3.357","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2012","2012","°C","4.055","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2013","2013","°C","1.727","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2014","2014","°C","1.405","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2015","2015","°C","1.829","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2016","2016","°C","2.608","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2017","2017","°C","4.483","Fc","Calculated data"
"ET","Temperature change","143","Morocco","7271","Temperature change","7006","June","2018","2018","°C","0.532","Fc","Calculated data"
