Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2015","2015","tonnes","553911","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2016","2016","tonnes","562983","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2017","2017","tonnes","575630","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2018","2018","tonnes","","M","Data not available"
"QCL","Crops and livestock products","100","India","5510","Production","426","Carrots and turnips","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2010","2010","ha","884680","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2011","2011","ha","1471000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2012","2012","ha","1234000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2013","2013","ha","1063190","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2014","2014","ha","1105000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2015","2015","ha","1089000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2016","2016","ha","1037000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2017","2017","ha","807920","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2018","2018","ha","824130","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","265","Castor oil seed","2019","2019","ha","751320","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2010","2010","hg/ha","15260","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2011","2011","hg/ha","15602","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2012","2012","hg/ha","15916","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2013","2013","hg/ha","16244","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2014","2014","hg/ha","16923","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2015","2015","hg/ha","16088","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2016","2016","hg/ha","13269","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2017","2017","hg/ha","17037","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2018","2018","hg/ha","19021","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","265","Castor oil seed","2019","2019","hg/ha","15928","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2010","2010","tonnes","1350000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2011","2011","tonnes","2295000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2012","2012","tonnes","1964000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2013","2013","tonnes","1727000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2014","2014","tonnes","1870000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2015","2015","tonnes","1752000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2016","2016","tonnes","1376000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2017","2017","tonnes","1376420","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2018","2018","tonnes","1567560","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","265","Castor oil seed","2019","2019","tonnes","1196680","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2010","2010","ha","347900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2011","2011","ha","369000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2012","2012","ha","391000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2013","2013","ha","402000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2014","2014","ha","433870","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2015","2015","ha","411000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2016","2016","ha","426000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2017","2017","ha","454000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2018","2018","ha","453000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2019","2019","ha","465000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2010","2010","hg/ha","188819","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2011","2011","hg/ha","182791","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2012","2012","hg/ha","187954","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2013","2013","hg/ha","196194","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2014","2014","hg/ha","197600","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2015","2015","hg/ha","192847","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2016","2016","hg/ha","189906","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2017","2017","hg/ha","188480","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2018","2018","hg/ha","191347","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","393","Cauliflowers and broccoli","2019","2019","hg/ha","195333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2010","2010","tonnes","6569000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2011","2011","tonnes","6745000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2012","2012","tonnes","7349000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2013","2013","tonnes","7887000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2014","2014","tonnes","8573280","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2015","2015","tonnes","7926000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2016","2016","tonnes","8090000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2017","2017","tonnes","8557000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2018","2018","tonnes","8668000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","393","Cauliflowers and broccoli","2019","2019","tonnes","9083000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2010","2010","ha","3226","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2011","2011","ha","3266","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2012","2012","ha","3300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2013","2013","ha","3300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2014","2014","ha","3500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2015","2015","ha","3599","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2016","2016","ha","3528","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2017","2017","ha","3539","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2018","2018","ha","3567","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2019","2019","ha","3595","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2010","2010","hg/ha","29616","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2011","2011","hg/ha","29801","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2012","2012","hg/ha","29994","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2013","2013","hg/ha","30182","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2014","2014","hg/ha","30246","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2015","2015","hg/ha","30411","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2016","2016","hg/ha","30513","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2017","2017","hg/ha","30644","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2018","2018","hg/ha","30771","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","2019","2019","hg/ha","30896","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2010","2010","tonnes","9554","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2011","2011","tonnes","9733","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2012","2012","tonnes","9898","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2013","2013","tonnes","9960","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2014","2014","tonnes","10586","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2015","2015","tonnes","10945","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2016","2016","tonnes","10765","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2017","2017","tonnes","10845","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","531","Cherries","2018","2018","tonnes","10976","Im","FAO data based on imputation methodology"
